filename,path,duration,sample_rate,channels
Tongatong_02_Open_den(2).wav,preprocessing\Tongatong_02_Open_den(2).wav,1.29375,48000,1
Tongatong_02_Open_den(3).wav,preprocessing\Tongatong_02_Open_den(3).wav,1.1391666666666667,48000,1
Tongatong_02_Open_den(4).wav,preprocessing\Tongatong_02_Open_den(4).wav,1.2160833333333334,48000,1
Tongatong_02_Open_den(5).wav,preprocessing\Tongatong_02_Open_den(5).wav,1.3677083333333333,48000,1
Tongatong_02_Open_den(6).wav,preprocessing\Tongatong_02_Open_den(6).wav,1.355,48000,1
Tongatong_02_Open_den(7).wav,preprocessing\Tongatong_02_Open_den(7).wav,1.2293541666666667,48000,1
Tongatong_02_Open_den(8).wav,preprocessing\Tongatong_02_Open_den(8).wav,0.9880625,48000,1
Tongatong_03_Closed_den(02).wav,preprocessing\Tongatong_03_Closed_den(02).wav,0.38466666666666666,48000,1
Tongatong_03_Closed_den(03).wav,preprocessing\Tongatong_03_Closed_den(03).wav,0.44477083333333334,48000,1
Tongatong_03_Closed_den(04).wav,preprocessing\Tongatong_03_Closed_den(04).wav,0.5968125,48000,1
Tongatong_03_Closed_den(05).wav,preprocessing\Tongatong_03_Closed_den(05).wav,0.46489583333333334,48000,1
Tongatong_03_Closed_den(06).wav,preprocessing\Tongatong_03_Closed_den(06).wav,0.5257083333333333,48000,1
Tongatong_03_Closed_den(07).wav,preprocessing\Tongatong_03_Closed_den(07).wav,0.6222083333333334,48000,1
Tongatong_03_Closed_den(08).wav,preprocessing\Tongatong_03_Closed_den(08).wav,0.6419166666666667,48000,1
Tongatong_03_Closed_den(09).wav,preprocessing\Tongatong_03_Closed_den(09).wav,0.822125,48000,1
Tongatong_03_Closed_den(10).wav,preprocessing\Tongatong_03_Closed_den(10).wav,0.685375,48000,1
Tongatong_03_Open_den(2).wav,preprocessing\Tongatong_03_Open_den(2).wav,0.7449791666666666,48000,1
Tongatong_03_Open_den(3).wav,preprocessing\Tongatong_03_Open_den(3).wav,0.7093541666666666,48000,1
